,0,1,2,3,4,5,6,7,8,9,10
10, Chic Private1BR Apt #5 UMMC  UB  MICA  HOPKINS, Baltimore,44,4  , 1  , 3  , 1 bath,Self check-in , Wifi , Air conditioning , Indoor fireplace
11, A place to call home   1BR in Towson, Towson,119,3  , 1  , 1  , 1 bath,Wifi , Elevator , Gym , Pool
12, All inclusive apartment home   1BR in Towson, Towson,125,3  , 1  , 1  , 1 bath,Wifi , Elevator , Gym , Pool
13, Great Location & Value In Baltimore City 21218, Baltimore,40,2  , 1  , 1  , 1 bath,Wifi , Air conditioning , Washer , Dishwasher
14, A room One block from Johns Hopkins university (5), Baltimore,29,2  , 1  , 1  , 2.5 shared baths,Self check-in , Wifi , Air conditioning , Washer
15, Cozy room with Private bath and & Private deck., Baltimore,44,2  , 1  , 1  , 1 private bath,Self check-in , Wifi , Air conditioning , Indoor fireplace
16, 1200 sqft  2BR LOFT near JHU. FREE Parking., Baltimore,61,6  , 2  , 4  , 1.5 baths,Self check-in , Wifi , Air conditioning , Washer
17, Room near John's Hopkins, Baltimore,41,1  , 1  , 1  , 1 private bath,Wifi , Air conditioning , Washer , Dishwasher
18, Modern Apartment with Private Entry in Upper Fells, Baltimore,71,3  , 1  , 1  , 1 bath,Self check-in , Wifi , Air conditioning , Washer
19, Updated 2 bedroom Townhouse near Town Center, Owings Mills,65,6  , 2  , 3  , 2 baths,Self check-in , Wifi , Air conditioning , Breakfast
0, A place to call home   1BR in Towson, Towson,119,3  , 1  , 1  , 1 bath,Wifi , Kitchen,None,None
1, Private Bedroom  Full Bath in Canton Square, Baltimore,43,2  , 1  , 1  , 1 private bath,Wifi , Free parking , Heating,None
2, 1200 sqft  2BR LOFT near JHU. FREE Parking., Baltimore,61,6  , 2  , 4  , 1.5 baths,Wifi , Free parking , Kitchen , Heating
3, NEW! Sojourner's Room on Patterson Park, Baltimore,45,1  , 1  , 0  , 1 shared bath,Wifi , Heating,None,None
4, Madison House, Baltimore,100,6  , 3  , 4  , 1 bath,Wifi , Kitchen , Heating,None
5, 2  Bedroom House 4 Blocks from Hopkins; Ready 4 U!, Baltimore,84,4  , 2  , 2  , 2.5 baths,Wifi , Free parking , Kitchen , Heating
6, Private  Separate Entrance Basement Studio Apt., Baltimore,45,2  , 1  , 1  , 1 bath,Wifi , Heating,None,None
7, SPACIOUS STUDIO APARTMENT   BALTIMORE INNER HARBOR, Baltimore,75,4  , Studio , 1  , 1 bath,Kitchen , Heating,None,None
8, 6212 Hamilton Rm2 student Professional TVlinternet, Baltimore,22,1  , 1  , 1  , 1 bath,Wifi , Free parking , Kitchen , Heating
9, An Efficiency Studio, Baltimore,48,2  , Studio , 2  , 1 bath,Wifi , Kitchen , Heating,None
10, master suite with balcony in fells point,t,45,2  , 1  , 1  , 1 shared bath,Wifi , Kitchen , Heating,None
11, Quiet Retreat: private bed bath  and seating area,t,36,2  , 1  , 1  , 1 shared bath,Wifi , Free parking , Kitchen , Heating
12, Cloudbunks  a Hostel in Baltimore,t,27,16  , 1  , 24  , 3 shared baths,Wifi , Kitchen , Heating,None
13, South Facing Studio Overlooking Union Square Park, Baltimore ,72,2  , Studio , 2  , 1 bath,Wifi , Kitchen , Heating,None
14, Private Bedroom   Walk to UM Medical Center, Baltimore,30,2  , 1  , 1  , 1.5 shared baths,Wifi , Free parking , Kitchen , Heating
15, Private basement apartment, Baltimore,42,4  , 1  , 1  , 1 bath,Wifi , Free parking , Heating,None
16, Third floor private room, Baltimore,75,2  , 1  , 1  , 1 shared bath,Wifi , Kitchen , Heating,None
17, A place to call home   1BR in Towson, Baltimore,118,3  , 1  , 1  , 1 bath,Wifi , Kitchen,None,None
18, Cozy room with Private bath and & Private deck., Laurel,44,2  , 1  , 1  , 1 private bath,Wifi , Free parking , Kitchen , Heating
19, Fairmount Room with Deck, Baltimore,26,1  , 1  , 0  , 1 shared bath,Wifi , Kitchen , Heating,None
0,   Private Room   Parking   Walk2 InnerHarbor  UMMC, Baltimore,40,2  , 1  , 1  , 1 shared bath,Wifi , Air conditioning , Kitchen , Self check-in
1, 3Beautiful House for Grad students, Baltimore,18,1  , 1  , 1  , 1.5 shared baths,Wifi , Air conditioning , Kitchen , Indoor fireplace
2, Entire Comfy Studio @Charles Village  5min frm JHU, Baltimore,58,2  , Studio , 1  , 1 bath,Wifi , Air conditioning , Kitchen , Washer
3, Entire Cozy Studio @ JHU (w  Private Bath), Baltimore,50,2  , Studio , 1  , 1 bath,Wifi , Air conditioning , Self check-in,None
4, Private Suite with Bed & Bath @JHU!, Baltimore,43,4  , 1  , 2  , 1.5 baths,Wifi , Air conditioning , Kitchen , Washer
5, Colorful  Comfortable & Convenient, Baltimore,35,2  , 1  , 1  , 1 private bath,Wifi , Air conditioning , Kitchen , Pets allowed
6, En suite  private bathroom next central Baltimore, Baltimore,38,2  , 1  , 1  , 1 shared bath,Wifi , Air conditioning , Kitchen , Washer
7, Stunning Suite Across from John Hopkins & Krieger, Baltimore,79,4  , 1  , 2  , 1 bath,Wifi , Air conditioning , Kitchen , Washer
8, Basement Suite by the University Hospital & Campus, Baltimore,41,2  , 1  , 1  , 3 baths,Wifi , Air conditioning , Kitchen , Washer
9, City Living at its Finest! 7 minutes from downtown, Baltimore,65,4  , 1  , 1  , 1 bath,Wifi , Air conditioning , Kitchen , Free parking
10, Private bedrooms in Baltimore near JH, Baltimore,27,2  , 1  , 1  , 1.5 shared baths,Wifi , Air conditioning,None,None
11, All inclusive apartment home   1BR in Towson, Towson,125,3  , 1  , 1  , 1 bath,Wifi , Pool , Kitchen , Pets allowed
12, All inclusive apartment home   1BR in Towson, Towson,125,3  , 1  , 1  , 1 bath,Wifi , Pool , Kitchen , Pets allowed
13, All inclusive apartment home   1BR in Towson, Towson,125,3  , 1  , 1  , 1 bath,Wifi , Pool , Kitchen , Pets allowed
14, Cozy Convenient to Inner Hrbr stadiums  free pkng, Baltimore,75,2  , Studio , 1  , 1 bath,Wifi , Air conditioning , Kitchen , Washer
15,  ️️Room Fit for a King with Ensuite Bathroom ️️, Baltimore,39,3  , 1  , 1  , 1 shared bath,Wifi , Air conditioning , Free parking , Self check-in
16, Townhouse Bedroom   UMMC  John Hopkins  Stadiums, Baltimore,30,2  , 1  , 1  , 1.5 shared baths,Wifi , Air conditioning , Kitchen , Free parking
17, BWI   downtown Baltimore 10 mins, Glen Burnie,60,3  , 1  , 1  , 1 shared bath,Wifi , Air conditioning , Free parking , Indoor fireplace
18, 1st Floor Studio Suite   1 Queen Bed & Kitchen, Baltimore,74,2  , Studio , 1  , 1 private bath,Wifi , Air conditioning , Kitchen , Pets allowed
19, 2521 Parkville basement queen room 4 professional, Baltimore,23,1  , 1  , 0  , 1 shared bath,Wifi , Air conditioning , Kitchen , Free parking
0, Entire Spacious Guest Unit @JHU (w Private Bath), Baltimore,57,2  , Studio , 1  , 1 bath,Wifi , Heating,None,None
1, Charm City Treasure, Baltimore,40,2  , Studio , 1  , 1 bath,Wifi , Free parking , Kitchen , Heating
2, Suburban comfort near Ft Meade, Hanover,30,1  , 1  , 1  , 1.5 shared baths,Wifi , Free parking , Kitchen , Heating
3, BLUE Private Bedroom with Shared Bathroom, Catonsville,24,2  , 1  , 1  , 2.5 shared baths,Wifi , Free parking , Kitchen , Heating
4,  Amazing 3br 2 bath townhome with King Bed , Baltimore,182,7  , 3  , 3  , 2 baths,Wifi , Kitchen , Heating,None
5, Colorful  Comfortable & Convenient, Baltimore,35,2  , 1  , 1  , 1 private bath,Wifi , Kitchen , Heating,None
6, Private basement apartment, Laurel,42,4  , 1  , 1  , 1 bath,Wifi , Free parking , Heating,None
7,  ️️Room Fit for a King with Ensuite Bathroom ️️, Baltimore,39,3  , 1  , 1  , 1 shared bath,Wifi , Free parking , Heating,None
8, Studio Apt. close to Hopkins Univ & Union Memorial, Baltimore,57,2  , 1  , 2  , 1 bath,Wifi , Free parking , Kitchen , Heating
9, Free Gated Parking  2BR 1Bath  Sleeps 8  Top Floor, Baltimore,119,8  , 2  , 4  , 1 private bath,Wifi , Free parking , Kitchen , Heating
10, Charming House near Farmer’s Market Patio View,t,31,2  , 1  , 1  , 1 shared bath,Wifi , Free parking , Kitchen , Heating
11, Secluded acre near BWI and Baltimore,t,85,4  , 2  , 2  , 1.5 baths,Wifi , Free parking , Kitchen , Heating
12, Fairmount Room with Deck, Baltimore,26,1  , 1  , 0  , 1 shared bath,Wifi , Kitchen , Heating,None
13, Townhouse  clean  cozy  efficient, Glen Burnie,70,2  , 2  , 2  , 1.5 baths,Free parking , Kitchen , Heating,None
14, HUGE 2800SF RETREAT 🥂 at JOHN HOPKINS 🛏 BALTIMORE, Baltimore,199,7  , 3  , 4  , 2.5 baths,Wifi , Kitchen , Heating,None
15, Entire Comfy Studio @Charles Village  5min frm JHU, Lutherville-Timonium,58,2  , Studio , 1  , 1 bath,Wifi , Kitchen , Heating,None
16, The Khalil at Fairway, Baltimore,12,1  , 1  , 1  , 2.5 shared baths,Wifi , Heating,None,None
17, Mount Vernon Studio, Baltimore,94,2  , 1  , 1  , 1 bath,Wifi , Kitchen , Heating,None
18, Top of Federal Hill Townhouse With Rooftop Deck, Baltimore,80,10  , 3  , 5  , 2 baths,Wifi , Free parking , Kitchen , Heating
19, Town House with private parking Right in Canton!, Baltimore,94,5  , 1  , 2  , 1 bath,Wifi , Free parking , Kitchen , Heating
0, Best bed room next to JJH   fells point  canton, Baltimore,40,2  , 1  , 1  , 1 shared bath,Self check-in , Air conditioning , Washer , Dryer
1, Full Bedroom Minutes Away From The Harbor!, Baltimore,23,4  , 1  , 1  , 1.5 shared baths,Wifi , Air conditioning , Gym , Indoor fireplace
2, Cozy Room for Traveling Nurses at BWI Airport, Glen Burnie,45,2  , 1  , 1  , 1 private bath,Self check-in , Wifi , Air conditioning , Kitchen
3, Federal Hill Locust Point Private Room, Baltimore,50,2  , 1  , 1  , 1.5 shared baths,Self check-in , Wifi , Air conditioning , Indoor fireplace
4, Cozy bedroom next Johns Hopkins hosp  fells point, Baltimore,40,2  , 1  , 1  , 1 shared bath,Self check-in , Wifi , Air conditioning , Washer
