,0,1,2,3,4,5,6,7,8,9,10,11,12
0, Master suite w  private bathroom & living room,Private room, Wynnefield,44,5  , 1  , 3  , 1 private bath,Wifi , Air conditioning , Kitchen , Free parking,https://airbnb.com/rooms/35719833?previous_page_section_name=1000&federated_search_id=9560c9a6-7754-482f-8a70-1d50207a4ee7
1,   TEMPLE CAMPUS  Private Room B w Key WiFi SmartTV,Private room, North Central,29,2  , 1  , 1  , 2.5 shared baths,Wifi , Kitchen,None,None,https://airbnb.com/rooms/45746959?previous_page_section_name=1000&federated_search_id=9560c9a6-7754-482f-8a70-1d50207a4ee7
2, A Cozy Room near Subway & Supermarket,Private room, North Central,34,1,1,1,1,Wifi , Air conditioning , Kitchen , Free parking,https://airbnb.com/rooms/40807863?previous_page_section_name=1000&federated_search_id=9560c9a6-7754-482f-8a70-1d50207a4ee7
3, Elegant Loft,Entire loft, North Central,46,6  , 1  , 1  , 1 bath,Wifi , Air conditioning , Kitchen , Free parking,https://airbnb.com/rooms/47102889?previous_page_section_name=1000&federated_search_id=9560c9a6-7754-482f-8a70-1d50207a4ee7
4, The Dreamers Loft   Stylish 1BD in Center City,Entire apartment, Francisville,58,6  , 1  , 3  , 1 bath,Wifi , Air conditioning , Kitchen , Washer,https://airbnb.com/rooms/30070942?previous_page_section_name=1000&federated_search_id=9560c9a6-7754-482f-8a70-1d50207a4ee7
5, Large Rear Bedroom in N  Fairmount Brewerytown,Private room, Fairmount,40,2  , 1  , 1  , 1.5 shared baths,Wifi , Air conditioning , Kitchen , Indoor fireplace,https://airbnb.com/rooms/15818336?previous_page_section_name=1000&federated_search_id=9560c9a6-7754-482f-8a70-1d50207a4ee7
6, Charming Modern One Bedroom Apartment in Old City!,Entire apartment, Old City,54,2  , 1  , 1  , 1 bath,Air conditioning , Kitchen , Gym , Elevator,https://airbnb.com/rooms/36130493?previous_page_section_name=1000&federated_search_id=9560c9a6-7754-482f-8a70-1d50207a4ee7
7, Garden Suite Near Rittenhouse Square,Private room, South Philadelphia,34,2  , 1  , 1  , 2 shared baths,Wifi , Air conditioning,None,None,https://airbnb.com/rooms/19958931?previous_page_section_name=1000&federated_search_id=9560c9a6-7754-482f-8a70-1d50207a4ee7
8, Large room nr transportatin 228B1,Private room, Overbrook Park,20,1  , 1  , 1  , 1 shared bath,Wifi , Air conditioning , Kitchen , Washer,https://airbnb.com/rooms/6978602?previous_page_section_name=1000&federated_search_id=9560c9a6-7754-482f-8a70-1d50207a4ee7
9, 301B Clean and Cozy Center City Studio,Entire apartment, Gayborhood,55,2  , Studio , 0  , 1 bath,Wifi , Air conditioning , Kitchen , Breakfast,https://airbnb.com/rooms/37051109?previous_page_section_name=1000&federated_search_id=9560c9a6-7754-482f-8a70-1d50207a4ee7
10, Charming Suite in Boutique Style Building,Private room, Poplar,48,2  , Studio , 1  , 1 private bath,Wifi , Air conditioning , Kitchen , Self check-in,https://airbnb.com/rooms/36488641?previous_page_section_name=1000&federated_search_id=9560c9a6-7754-482f-8a70-1d50207a4ee7
11, Cozy Private Room in Germantown  Philadelphia,Private room, Northwest Philadelphia,25,1  , 1  , 1  , 1 shared bath,Wifi , Air conditioning , Kitchen,None,https://airbnb.com/rooms/16829921?previous_page_section_name=1000&federated_search_id=9560c9a6-7754-482f-8a70-1d50207a4ee7
12, B2  Large Room with Shared Bathroom,Private room, South Philadelphia,33,2  , 1  , 1  , 1 shared bath,Wifi , Air conditioning , Kitchen , Washer,https://airbnb.com/rooms/13915302?previous_page_section_name=1000&federated_search_id=9560c9a6-7754-482f-8a70-1d50207a4ee7
13, Designer Private Room  Private room w  Work Space,Private room, South Philadelphia,44,2  , 1  , 1  , 1 shared bath,Wifi , Air conditioning , Kitchen , Washer,https://airbnb.com/rooms/46090257?previous_page_section_name=1000&federated_search_id=9560c9a6-7754-482f-8a70-1d50207a4ee7
14, Main Line Home: convenient to Philadelphia,Entire house, West Philadelphia,100,8  , 4  , 4  , 3.5 baths,Wifi , Air conditioning , Pool , Kitchen,https://airbnb.com/rooms/45133407?previous_page_section_name=1000&federated_search_id=9560c9a6-7754-482f-8a70-1d50207a4ee7
15, Private Hideaway in Prime Location Center City,Private room, South Philadelphia,37,2  , 1  , 1  , 2 shared baths,Wifi , Air conditioning , Self check-in,None,https://airbnb.com/rooms/19486630?previous_page_section_name=1000&federated_search_id=9560c9a6-7754-482f-8a70-1d50207a4ee7
16, Infinity S  Philly Suite w Smart TV   Walk 2 City,Private room, South Philadelphia,20,1  , 1  , 1  , 1 shared bath,Wifi , Air conditioning , Kitchen , Pets allowed,https://airbnb.com/rooms/41197587?previous_page_section_name=1000&federated_search_id=9560c9a6-7754-482f-8a70-1d50207a4ee7
17, A reasonable place,Private room, Northeast Philadelphia,30,1  , Studio , 1  , 1 shared bath,Heating,None,None,None,https://airbnb.com/rooms/41325743?previous_page_section_name=1000&federated_search_id=9560c9a6-7754-482f-8a70-1d50207a4ee7
18, Central Philly  STYLE SUITE  Sunny Apt  Near City,Entire apartment, Poplar,38,6  , 2  , 2  , 2 baths,Wifi , Air conditioning , Kitchen , Elevator,https://airbnb.com/rooms/31802489?previous_page_section_name=1000&federated_search_id=9560c9a6-7754-482f-8a70-1d50207a4ee7
