,0,1,2,3,4,5,6,7,8,9,10,11,12
0, Small cozy room close to everything,Private room, Quincy,39,1  , 1  , 1  , 1 shared bath,Wifi , Air conditioning , Kitchen , Washer,https://airbnb.com/rooms/35801698?previous_page_section_name=1000&federated_search_id=7642e268-3447-4ed9-bde7-b65a3b2de2db
1, Nice Queen size bedroom  near T,Private room, Somerville,39,1  , 1  , 1  , 1 shared bath,Wifi , Kitchen , Free parking,None,https://airbnb.com/rooms/6812982?previous_page_section_name=1000&federated_search_id=7642e268-3447-4ed9-bde7-b65a3b2de2db
2, 3 Bed 2 Bath w  Free Parking near Kendall Square,Entire serviced apartment, Cambridge,83,8  , 3  , 4  , 2 baths,Wifi , Air conditioning , Kitchen , Free parking,https://airbnb.com/rooms/33325791?previous_page_section_name=1000&federated_search_id=7642e268-3447-4ed9-bde7-b65a3b2de2db
3, Gorgeous Beacon Hill Apartment,Entire apartment, West End,51,3  , 1  , 1  , 1 bath,Wifi , Air conditioning , Kitchen , Self check-in,https://airbnb.com/rooms/8170181?previous_page_section_name=1000&federated_search_id=7642e268-3447-4ed9-bde7-b65a3b2de2db
4, Charming studio,Entire apartment, Allston-Brighton,49,1  , 1  , 1  , 1 bath,Wifi , Air conditioning , Kitchen , Washer,https://airbnb.com/rooms/4630071?previous_page_section_name=1000&federated_search_id=7642e268-3447-4ed9-bde7-b65a3b2de2db
5, (X6) Simple Little Stay,Entire apartment, Back Bay,77,2  , Studio , 1  , 1 bath,Wifi , Air conditioning , Kitchen , Washer,https://airbnb.com/rooms/46880344?previous_page_section_name=1000&federated_search_id=7642e268-3447-4ed9-bde7-b65a3b2de2db
6, 401 Downtown Boston Studio  Book Now!!!,Entire apartment, Downtown Crossing,70,2  , 1  , 1  , 1 bath,Wifi , Air conditioning , Kitchen , Elevator,https://airbnb.com/rooms/46983244?previous_page_section_name=1000&federated_search_id=7642e268-3447-4ed9-bde7-b65a3b2de2db
7, Somerville One Bedroom Summer Sublet,Private room, Somerville,52,2  , 1  , 1  , 2 shared baths,Wifi , Air conditioning , Kitchen , Washer,https://airbnb.com/rooms/25008538?previous_page_section_name=1000&federated_search_id=7642e268-3447-4ed9-bde7-b65a3b2de2db
8, Stunning South End 1BR   private roofdeck,Entire condominium, South End,130,3  , 1  , 2  , 1 bath,Wifi , Air conditioning , Kitchen , Washer,https://airbnb.com/rooms/32762186?previous_page_section_name=1000&federated_search_id=7642e268-3447-4ed9-bde7-b65a3b2de2db
9, The Inn at Brookline  Exec  Tower King Interior,Room, boutique hotel Coolidge Corner,110,2  , 1  , 1  , 1 private bath,Wifi , Air conditioning , Gym , Elevator,https://airbnb.com/rooms/39392723?previous_page_section_name=1000&federated_search_id=7642e268-3447-4ed9-bde7-b65a3b2de2db
